sRGBA,r,g,b,a
1,158,5,81,255
2,180,35,236,255
3,139,50,50,255
4,149,34,68,255
5,149,34,68,255
6,139,50,50,255
7,60,132,132,255
8,139,50,50,255
9,158,5,81,255
10,158,5,81,255
11,149,34,68,255
12,29,127,127,255
13,139,50,50,255
14,139,50,50,255
15,139,50,50,255
16,139,50,50,255
17,60,132,132,255
18,139,50,50,255
18,139,50,50,255
19,149,34,68,255
20,149,34,68,255
21,122,101,184,255
22,149,34,68,255
23,149,34,68,255
24,139,50,50,255
25,139,50,50,255
26,60,132,132,255
27,139,50,50,255
28,139,50,50,255
29,158,5,81,255
30,113,104,188,255
31,139,50,50,255
32,139,50,50,255
33,158,5,81,255
