sRGBA,r,g,b,a
1,149,34,68,255
2,119,109,197,255
3,149,34,68,255
4,139,50,50,255
5,149,34,68,255
6,158,5,81,255
7,139,50,50,255
8,149,34,68,255
9,158,5,81,255
10,139,50,50,255
11,149,34,68,255
12,119,109,197,255
13,158,5,81,255
14,139,50,50,255
15,139,50,50,255
16,139,50,50,255
17,139,50,50,255
18,149,34,68,255
18,149,34,68,255
19,158,5,81,255
20,149,34,68,255
21,119,109,197,255
22,158,5,81,255
23,158,5,81,255
24,139,50,50,255
25,139,50,50,255
26,149,34,68,255
27,139,50,50,255
28,139,50,50,255
29,139,50,50,255
30,119,109,197,255
31,158,5,81,255
32,139,50,50,255
33,149,34,68,255
