sRGBA,r,g,b,a
1,139,50,50,255
2,119,109,197,255
3,139,50,50,255
4,158,5,81,255
5,139,50,50,255
6,139,50,50,255
7,158,5,81,255
8,139,50,50,255
9,158,5,81,255
10,158,5,81,255
11,139,50,50,255
12,60,132,132,255
13,139,50,50,255
14,149,34,68,255
15,149,34,68,255
16,149,34,68,255
17,149,34,68,255
18,149,34,68,255
18,139,50,50,255
19,139,50,50,255
20,149,34,68,255
21,119,109,197,255
22,139,50,50,255
23,149,34,68,255
24,139,50,50,255
25,158,5,81,255
26,149,34,68,255
27,149,34,68,255
28,158,5,81,255
29,139,50,50,255
30,190,37,248,255
31,149,34,68,255
32,149,34,68,255
33,139,50,50,255
