sRGBA,r,g,b,a
1,177,177,177,255
2,195,195,195,255
3,211,211,211,255
4,177,177,177,255
5,177,177,177,255
6,177,177,177,255
7,177,177,177,255
8,211,211,211,255
9,195,195,195,255
10,177,177,177,255
11,177,177,177,255
12,177,177,177,255
13,177,177,177,255
14,177,177,177,255
15,177,177,177,255
16,177,177,177,255
17,177,177,177,255
18,177,177,177,255
19,177,177,177,255
20,177,177,177,255
21,177,177,177,255
22,195,195,195,255
23,211,211,211,255
24,195,195,195,255
25,177,177,177,255
26,177,177,177,255
27,177,177,177,255
28,177,177,177,255
29,177,177,177,255
30,177,177,177,255
31,177,177,177,255
32,195,195,195,255
33,211,211,211,255
34,177,177,177,255
