sRGBA,r,g,b,a
1,64,64,64,255
2,64,64,64,255
3,64,64,64,255
4,109,109,109,255
5,109,109,109,255
6,109,109,109,255
7,109,109,109,255
8,109,109,109,255
9,64,64,64,255
10,64,64,64,255
11,64,64,64,255
12,64,64,64,255
13,64,64,64,255
14,109,109,109,255
15,109,109,109,255
16,109,109,109,255
17,109,109,109,255
18,109,109,109,255
19,64,64,64,255
20,64,64,64,255
21,64,64,64,255
22,64,64,64,255
23,64,64,64,255
24,109,109,109,255
25,109,109,109,255
26,109,109,109,255
27,109,109,109,255
28,109,109,109,255
29,64,64,64,255
30,64,64,64,255
31,64,64,64,255
32,64,64,64,255
33,64,64,64,255
34,109,109,109,255
