sRGBA,r,g,b,a
1,64,64,64,255
2,64,64,64,255
3,64,64,64,255
4,109,109,109,255
5,64,64,64,255
6,64,64,64,255
7,64,64,64,255
8,64,64,64,255
9,64,64,64,255
10,64,64,64,255
11,64,64,64,255
12,64,64,64,255
13,64,64,64,255
14,109,109,109,255
15,64,64,64,255
16,64,64,64,255
17,64,64,64,255
18,64,64,64,255
19,64,64,64,255
20,109,109,109,255
21,64,64,64,255
22,64,64,64,255
23,64,64,64,255
24,64,64,64,255
25,64,64,64,255
26,64,64,64,255
27,64,64,64,255
28,64,64,64,255
29,64,64,64,255
30,64,64,64,255
31,109,109,109,255
32,64,64,64,255
33,64,64,64,255
34,64,64,64,255
