sRGBA,r,g,b,a
1,64,64,64,255
2,109,109,109,255
3,64,64,64,255
4,64,64,64,255
5,64,64,64,255
6,64,64,64,255
7,64,64,64,255
8,64,64,64,255
9,64,64,64,255
10,64,64,64,255
11,64,64,64,255
12,109,109,109,255
13,64,64,64,255
14,64,64,64,255
15,64,64,64,255
16,64,64,64,255
17,64,64,64,255
18,64,64,64,255
18,64,64,64,255
19,64,64,64,255
20,64,64,64,255
21,108,108,108,255
22,64,64,64,255
23,64,64,64,255
24,64,64,64,255
25,64,64,64,255
26,64,64,64,255
27,64,64,64,255
28,64,64,64,255
29,64,64,64,255
30,109,109,109,255
31,64,64,64,255
32,64,64,64,255
33,64,64,64,255
