sRGBA,r,g,b,a
1,209,209,209,255
2,209,209,209,255
3,209,209,209,255
4,223,223,223,255
5,209,209,209,255
6,209,209,209,255
7,209,209,209,255
8,209,209,209,255
9,209,209,209,255
10,209,209,209,255
11,209,209,209,255
12,223,223,223,255
13,209,209,209,255
14,209,209,209,255
15,209,209,209,255
16,209,209,209,255
17,209,209,209,255
18,209,209,209,255
19,222,222,222,255
20,209,209,209,255
21,209,209,209,255
22,209,209,209,255
23,209,209,209,255
24,209,209,209,255
25,209,209,209,255
26,209,209,209,255
27,209,209,209,255
28,209,209,209,255
29,209,209,209,255
30,209,209,209,255
31,223,223,223,255
32,209,209,209,255
33,209,209,209,255
34,209,209,209,255
