sRGBA,r,g,b,a
1,139,50,50,255
2,17,89,89,255
3,149,34,68,255
4,149,34,68,255
5,149,34,68,255
6,149,34,68,255
7,149,34,68,255
8,149,34,68,255
9,149,34,68,255
10,149,34,68,255
11,149,34,68,255
12,79,72,133,255
13,158,5,81,255
14,158,5,81,255
15,158,5,81,255
16,158,5,81,255
17,158,5,81,255
18,158,5,81,255
18,158,5,81,255
19,158,5,81,255
20,158,5,81,255
21,128,22,169,255
22,158,5,81,255
23,158,5,81,255
24,158,5,81,255
25,158,5,81,255
26,158,5,81,255
27,158,5,81,255
28,158,5,81,255
29,158,5,81,255
30,128,22,169,255
31,149,34,68,255
32,149,34,68,255
33,149,34,68,255
