sRGBA,r,g,b,a
1,194,194,194,255
2,210,210,210,255
3,210,210,210,255
4,210,210,210,255
5,210,210,210,255
6,210,210,210,255
7,194,194,194,255
8,194,194,194,255
9,194,194,194,255
10,194,194,194,255
11,194,194,194,255
12,210,210,210,255
13,210,210,210,255
14,210,210,210,255
15,210,210,210,255
16,210,210,210,255
17,194,194,194,255
18,194,194,194,255
19,194,194,194,255
20,194,194,194,255
21,194,194,194,255
22,210,210,210,255
23,210,210,210,255
24,210,210,210,255
25,210,210,210,255
26,210,210,210,255
27,194,194,194,255
28,194,194,194,255
29,194,194,194,255
30,194,194,194,255
31,194,194,194,255
32,210,210,210,255
33,210,210,210,255
34,210,210,210,255
