sRGBA,r,g,b,a
1,159,159,159,255
2,136,136,136,255
3,159,159,159,255
4,136,136,136,255
5,159,159,159,255
6,136,136,136,255
7,159,159,159,255
8,136,136,136,255
9,136,136,136,255
10,136,136,136,255
11,136,136,136,255
12,136,136,136,255
13,136,136,136,255
14,136,136,136,255
15,136,136,136,255
16,136,136,136,255
17,136,136,136,255
18,136,136,136,255
18,136,136,136,255
19,136,136,136,255
20,136,136,136,255
21,136,136,136,255
22,136,136,136,255
23,136,136,136,255
24,136,136,136,255
25,136,136,136,255
26,136,136,136,255
27,136,136,136,255
28,136,136,136,255
29,136,136,136,255
30,136,136,136,255
31,136,136,136,255
