sRGBA,r,g,b,a
1,243,243,243,255
2,230,230,230,255
3,243,243,243,255
4,243,243,243,255
5,243,243,243,255
6,243,243,243,255
7,243,243,243,255
8,243,243,243,255
9,243,243,243,255
10,243,243,243,255
11,243,243,243,255
12,230,230,230,255
13,243,243,243,255
14,243,243,243,255
15,243,243,243,255
16,243,243,243,255
17,243,243,243,255
18,243,243,243,255
19,243,243,243,255
20,243,243,243,255
21,243,243,243,255
22,230,230,230,255
23,243,243,243,255
24,243,243,243,255
25,243,243,243,255
26,243,243,243,255
27,243,243,243,255
28,243,243,243,255
29,243,243,243,255
30,243,243,243,255
31,230,230,230,255
32,243,243,243,255
33,243,243,243,255
34,243,243,243,255
