sRGBA,r,g,b,a
1,136,136,136,255
2,158,158,158,255
3,158,158,158,255
4,158,158,158,255
5,158,158,158,255
6,158,158,158,255
7,136,136,136,255
8,136,136,136,255
9,136,136,136,255
10,136,136,136,255
11,136,136,136,255
12,158,158,158,255
13,158,158,158,255
14,158,158,158,255
15,158,158,158,255
16,158,158,158,255
17,136,136,136,255
18,136,136,136,255
18,136,136,136,255
19,136,136,136,255
20,136,136,136,255
21,158,158,158,255
22,158,158,158,255
23,158,158,158,255
24,158,158,158,255
25,136,136,136,255
26,136,136,136,255
27,136,136,136,255
28,136,136,136,255
29,136,136,136,255
30,158,158,158,255
31,158,158,158,255
32,158,158,158,255
33,158,158,158,255
