sRGBA,r,g,b,a
1,231,231,231,255
2,244,244,244,255
3,244,244,244,255
4,244,244,244,255
5,244,244,244,255
6,244,244,244,255
7,231,231,231,255
8,231,231,231,255
9,231,231,231,255
10,231,231,231,255
11,231,231,231,255
12,243,243,243,255
13,243,243,243,255
14,243,243,243,255
15,243,243,243,255
16,243,243,243,255
17,231,231,231,255
18,231,231,231,255
19,231,231,231,255
20,231,231,231,255
21,231,231,231,255
22,244,244,244,255
23,244,244,244,255
24,244,244,244,255
25,244,244,244,255
26,231,231,231,255
27,231,231,231,255
28,231,231,231,255
29,231,231,231,255
30,231,231,231,255
31,244,244,244,255
32,244,244,244,255
33,244,244,244,255
34,244,244,244,255
