sRGBA,r,g,b,a
1,109,22,48,255
2,56,50,96,255
3,56,50,96,255
4,56,50,96,255
5,56,50,96,255
6,56,50,96,255
7,101,34,34,255
8,101,34,34,255
9,101,34,34,255
10,101,34,34,255
11,101,34,34,255
12,9,63,63,255
13,9,63,63,255
14,9,63,63,255
15,9,63,63,255
16,9,63,63,255
17,115,3,57,255
18,115,3,57,255
18,115,3,57,255
19,115,3,57,255
20,115,3,57,255
21,92,13,123,255
22,92,13,123,255
23,92,13,123,255
24,92,13,123,255
25,92,13,123,255
26,101,34,34,255
27,101,34,34,255
28,101,34,34,255
29,101,34,34,255
30,101,34,34,255
31,9,63,63,255
32,9,63,63,255
33,9,63,63,255
