sRGBA,r,g,b,a
1,220,55,104,255
2,119,109,197,255
3,119,109,197,255
4,119,109,197,255
5,119,109,197,255
6,119,109,197,255
7,220,55,104,255
8,220,55,104,255
9,220,55,104,255
10,220,55,104,255
11,220,55,104,255
12,119,109,197,255
13,119,109,197,255
14,119,109,197,255
15,119,109,197,255
16,119,109,197,255
17,220,55,104,255
18,220,55,104,255
19,220,55,104,255
20,220,55,104,255
21,220,55,104,255
22,119,109,197,255
23,119,109,197,255
24,119,109,197,255
25,119,109,197,255
26,119,109,197,255
27,220,55,104,255
28,220,55,104,255
29,220,55,104,255
30,220,55,104,255
31,220,55,104,255
32,119,109,197,255
33,119,109,197,255
34,119,109,197,255
