sRGBA,r,g,b,a
1,115,3,57,255
2,94,12,119,255
3,115,3,57,255
4,94,12,119,255
5,115,3,57,255
6,94,12,119,255
7,115,3,57,255
8,94,12,119,255
9,94,12,119,255
10,94,12,119,255
11,94,12,119,255
12,94,12,119,255
13,94,12,119,255
14,94,12,119,255
15,94,12,119,255
16,94,12,119,255
17,94,12,119,255
18,94,12,119,255
19,94,12,119,255
20,94,12,119,255
21,94,12,119,255
22,94,12,119,255
23,94,12,119,255
24,94,12,119,255
25,94,12,119,255
26,94,12,119,255
27,94,12,119,255
28,94,12,119,255
29,94,12,119,255
30,94,12,119,255
31,94,12,119,255
32,94,12,119,255
