sRGBA,r,g,b,a
1,196,74,74,255
2,29,127,127,255
3,196,74,74,255
4,29,127,127,255
5,210,52,99,255
6,122,101,184,255
7,222,11,116,255
8,180,35,236,255
9,180,35,236,255
10,180,35,236,255
11,180,35,236,255
12,180,35,236,255
13,180,35,236,255
14,180,35,236,255
15,180,35,236,255
16,180,35,236,255
17,180,35,236,255
18,180,35,236,255
19,180,35,236,255
20,180,35,236,255
21,180,35,236,255
22,180,35,236,255
23,180,35,236,255
24,180,35,236,255
25,180,35,236,255
26,180,35,236,255
27,180,35,236,255
28,180,35,236,255
29,180,35,236,255
30,180,35,236,255
31,180,35,236,255
32,180,35,236,255
