sRGBA,r,g,b,a
1,24,112,112,255
2,173,64,64,255
3,163,29,204,255
4,163,29,204,255
5,163,29,204,255
6,163,29,204,255
7,163,29,204,255
8,163,29,204,255
9,163,29,204,255
10,163,29,204,255
11,163,29,204,255
12,197,9,102,255
13,100,91,167,255
14,100,91,167,255
15,100,91,167,255
16,100,91,167,255
17,100,91,167,255
18,100,91,167,255
18,100,91,167,255
19,100,91,167,255
20,100,91,167,255
21,186,45,87,255
22,160,30,210,255
23,160,30,210,255
24,160,30,210,255
25,160,30,210,255
26,160,30,210,255
27,160,30,210,255
28,160,30,210,255
29,160,30,210,255
30,197,9,102,255
31,100,91,167,255
32,100,91,167,255
33,100,91,167,255
