sRGBA,r,g,b,a
1,233,13,122,255
2,190,37,248,255
3,205,78,78,255
4,31,134,134,255
5,220,55,104,255
6,119,109,197,255
7,233,13,122,255
8,190,37,248,255
9,190,37,248,255
10,190,37,248,255
11,190,37,248,255
12,190,37,248,255
13,190,37,248,255
14,190,37,248,255
15,190,37,248,255
16,190,37,248,255
17,190,37,248,255
18,190,37,248,255
18,190,37,248,255
19,190,37,248,255
20,190,37,248,255
21,190,37,248,255
22,190,37,248,255
23,190,37,248,255
24,190,37,248,255
25,190,37,248,255
26,190,37,248,255
27,190,37,248,255
28,190,37,248,255
29,190,37,248,255
30,190,37,248,255
31,190,37,248,255
