sRGBA,r,g,b,a
1,204,78,78,255
2,31,134,134,255
3,204,78,78,255
4,31,134,134,255
5,204,78,78,255
6,31,134,134,255
7,204,78,78,255
8,31,134,134,255
9,31,134,134,255
10,31,134,134,255
11,31,134,134,255
12,31,134,134,255
13,31,134,134,255
14,31,134,134,255
15,31,134,134,255
16,31,134,134,255
17,31,134,134,255
18,31,134,134,255
19,31,134,134,255
20,31,134,134,255
21,31,134,134,255
22,31,134,134,255
23,31,134,134,255
24,31,134,134,255
25,31,134,134,255
26,31,134,134,255
27,31,134,134,255
28,31,134,134,255
29,31,134,134,255
30,31,134,134,255
31,31,134,134,255
32,31,134,134,255
