sRGBA,r,g,b,a
1,31,134,134,255
2,205,78,78,255
3,190,37,248,255
4,233,13,122,255
5,119,109,197,255
6,220,55,104,255
7,31,134,134,255
8,204,78,78,255
9,204,78,78,255
10,204,78,78,255
11,204,78,78,255
12,204,78,78,255
13,204,78,78,255
14,204,78,78,255
15,204,78,78,255
16,204,78,78,255
17,204,78,78,255
18,204,78,78,255
19,204,78,78,255
20,204,78,78,255
21,204,78,78,255
22,204,78,78,255
23,204,78,78,255
24,204,78,78,255
25,204,78,78,255
26,204,78,78,255
27,204,78,78,255
28,204,78,78,255
29,204,78,78,255
30,204,78,78,255
31,204,78,78,255
32,204,78,78,255
