sRGBA,r,g,b,a
1,233,13,122,255
2,190,37,248,255
3,190,37,248,255
4,190,37,248,255
5,190,37,248,255
6,190,37,248,255
7,205,78,78,255
8,205,78,78,255
9,205,78,78,255
10,205,78,78,255
11,205,78,78,255
12,31,134,134,255
13,31,134,134,255
14,31,134,134,255
15,31,134,134,255
16,31,134,134,255
17,220,55,104,255
18,220,55,104,255
18,220,55,104,255
19,220,55,104,255
20,220,55,104,255
21,119,109,197,255
22,119,109,197,255
23,119,109,197,255
24,119,109,197,255
25,119,109,197,255
26,233,13,122,255
27,233,13,122,255
28,233,13,122,255
29,233,13,122,255
30,233,13,122,255
31,190,37,248,255
32,190,37,248,255
33,190,37,248,255
