sRGBA,r,g,b,a
1,245,245,245,255
2,232,232,232,255
3,245,245,245,255
4,232,232,232,255
5,245,245,245,255
6,232,232,232,255
7,245,245,245,255
8,232,232,232,255
9,232,232,232,255
10,232,232,232,255
11,232,232,232,255
12,232,232,232,255
13,232,232,232,255
14,232,232,232,255
15,232,232,232,255
16,232,232,232,255
17,232,232,232,255
18,232,232,232,255
18,232,232,232,255
19,232,232,232,255
20,232,232,232,255
21,232,232,232,255
22,232,232,232,255
23,232,232,232,255
24,232,232,232,255
25,232,232,232,255
26,232,232,232,255
27,232,232,232,255
28,232,232,232,255
29,232,232,232,255
30,232,232,232,255
31,232,232,232,255
