filename,pass,dimension
a004fr004m,TRUE,area
a005f024m,TRUE,area
a006f014m,TRUE,area
a007fr012m,TRUE,area
a008f003m,TRUE,area
f001c014m,TRUE,count
f001cr005m,TRUE,count
f001f022m,FALSE,FAIL
f001sr014m,TRUE,saturation
f002d025m,TRUE,chromaticity
f002f013m,FALSE,FAIL
f002f022m,FALSE,FAIL
f002fr011m,FALSE,FAIL
f003cr011m,TRUE,count
f003f005m,FALSE,FAIL
f003s005m,TRUE,saturation
f004c025m,TRUE,count
f004f011m,FALSE,FAIL
f004fr011m,FALSE,FAIL
f005d014m,TRUE,chromaticity
f005fr001m,FALSE,FAIL
f006dr003m,TRUE,chromaticity
f006fr002m,FALSE,FAIL
f006s021m,TRUE,saturation
f007d005m,TRUE,chromaticity
f007s011m,TRUE,saturation
f007sr002m,TRUE,saturation
f008c002m,TRUE,count
f008dr012m,TRUE,chromaticity
f008f003m,FALSE,FAIL
