filename,pass,dimension
a001fr003,TRUE,area
a002f036,TRUE,area
a003f012,TRUE,area
a004f002,TRUE,area
a005fr008,TRUE,area
a006fr011,TRUE,area
a007f004,TRUE,area
a008f021,TRUE,area
a009fr015,TRUE,area
a010f037,TRUE,area
a011f023,TRUE,area
a012f014,TRUE,area
f001cr007,TRUE,count
f001f034,FALSE,FAIL
f001l007,TRUE,luminance
f002fr005,FALSE,FAIL
f002lr001,TRUE,luminance
f003cr011,TRUE,count
f003f024,FALSE,FAIL
f003l032,TRUE,luminance
f003lr007,TRUE,luminance
f003y017,TRUE,luminance1
f004c027,TRUE,count
f004f001,FALSE,FAIL
f004y022,TRUE,luminance1
f005fr002,FALSE,FAIL
f005lr003,TRUE,luminance
f005y031,TRUE,luminance1
f006c035,TRUE,count
f006f017,FALSE,FAIL
f006lr018,TRUE,luminance
f006y023,TRUE,luminance1
f007c023,TRUE,count
f007cr014,TRUE,count
f007f003,FALSE,FAIL
f008cr003,TRUE,count
f008fr016,FALSE,FAIL
f008l024,TRUE,luminance
f008lr014,TRUE,luminance
f009c011,TRUE,count
f009cr005,TRUE,count
f009f013,FALSE,FAIL
f009lr016,TRUE,luminance
f010c032,TRUE,count
f010f038,FALSE,FAIL
f010l021,TRUE,luminance
f010y004,TRUE,luminance1
f011cr016,TRUE,count
f011fr011,FALSE,FAIL
f011l038,TRUE,luminance
f012c004,TRUE,count
f012f025,FALSE,FAIL
f012l013,TRUE,luminance
f012y035,TRUE,luminance1
