filename,pass,dimension
a003f017a_a008f017,TRUE,area_area
a004f014a_f002f014,FALSE,FAIL
a004f017a_f006c017,TRUE,area_count
a008f014a_f012y014,TRUE,area_lum
f002f014a_f005c014,FALSE,FAIL
f002y016a_f011cr016,TRUE,lum_count
f003cr013a_a004fr013,TRUE,count_area
f003f011a_f008y011,FALSE,FAIL
f003y013a_f004fr013,FALSE,FAIL
f004cr016a_f010fr016,FALSE,FAIL
f007f011a_f009f011,FALSE,FAIL
f007fr016a_a001fr016,FALSE,FAIL
f007y011a_f001y011,TRUE,lum_lum
f008c017a_f003y017,TRUE,count_lum
f008y011a_a012f011,TRUE,lum_area
f011cr013a_f007cr013,TRUE,count_count
