filename,pass,dimension
a006f011m,TRUE,area
a007fr015m,TRUE,area
a009f002m,TRUE,area
a010f024m,TRUE,area
a012fr003m,TRUE,area
f001f002m,FALSE,FAIL
f001f015m,FALSE,FAIL
f002c013m,TRUE,count
f002d005m,TRUE,chromaticity
f003dr012m,TRUE,chromaticity
f003s012m,TRUE,saturation
f004f011m,FALSE,FAIL
f004sr004m,TRUE,saturation
f005cr012m,TRUE,count
f005sr011m,TRUE,saturation
f006cr001m,TRUE,count
f006fr011m,FALSE,FAIL
f007f004m,FALSE,FAIL
f007s003m,TRUE,saturation
f008f025m,FALSE,FAIL
f008fr003m,FALSE,FAIL
f008fr013m,FALSE,FAIL
f009d014m,TRUE,chromaticity
f009f024m,FALSE,FAIL
f010c004m,TRUE,count
f010fr002m,FALSE,FAIL
f011c025m,TRUE,count
f011s025m,TRUE,saturation
f012d021m,TRUE,chromaticity
f012dr003m,TRUE,chromaticity
